iata,name,city
OCA,Ocean Reef Club Airport,Key Largo
CYT,Yakataga Airport,Yakataga
FWL,Farewell Airport,Farewell
CSE,Crested Butte Airpark,Crested Butte
CUS,Columbus Municipal Airport,Columbus
JCY,Lbj Ranch Airport,Johnson City
ICY,Icy Bay Airport,Icy Bay
HGZ,Hog River Airport,Hogatza
GWV,Fokker Field,Bush
BZT,Eagle Air Park,Brazoria
BYW,Blakely Island Airport,Blakely Island
DRF,Drift River Airport,Kenai
BDF,Rinkenberger Airport,Bradford
CTO,Calverton Executive Airpark,Calverton
RFK,Rollang Field,Rolling Fork
BCS,Southern Seaplane Airport,Belle Chasse
CWS,Center Island Airport,Center Island
DUF,Pine Island Airport,Corolla
SSW,Stuart Island Airpark,Stuart Island
FOB,Fort Bragg Airport,Fort Bragg
MHN,Hooker County Airport,Mullen
AXB,Maxson Airfield,Alexandria Bay
REE,Reese Airpark,Lubbock
AFT,Afutara Aerodrome,Bila
RNA,Ulawa Airport,Arona
ATD,Uru Harbour Airport,Atoifi
VEV,Barakoma Airport,Barakoma
BPF,Batuna Aerodrome,Batuna Mission Station
GEF,Geva Airport,Liangia
AKS,Auki Airport,Auki
BNY,Bellona/Anua Airport,Anua
BAS,Ballalae Airport,Ballalae
FRE,Fera/Maringe Airport,Fera Island
HIR,Honiara International Airport,Honiara
MBU,Babanakira Airport,Mbambanakira
IRA,Ngorangora Airport,Kirakira
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova
GZO,Nusatupe Airport,Gizo
MNY,Mono Airport,Stirling Island
PRS,Parasi Airport,Parasi
RNL,Rennell/Tingoa Airport,Rennell Island
EGM,Sege Airport,Sege
NNB,Santa Ana Airport,Santa Ana Island
RUS,Marau Airport,Marau
VAO,Suavanao Airport,Suavanao
XYA,Yandina Airport,Yandina
KGE,Kagau Island Airport,Kagau Island
KWS,Kwailabesi Airport,Kwailabesi
GTA,Gatokae Airport,Gatokae
RIN,Ringi Cove Airport,Ringi Cove
RBV,Ramata Airport,Ramata
CEX,Chena Hot Springs Airport,Chena Hot Springs
SOL,Solomon State Field,Solomon
HED,Herendeen Bay Airport,Herendeen Bay
TWE,Taylor Airport,Taylor
LNI,Lonely Air Station,Lonely
CDL,Candle 2 Airport,Candle
BSW,Boswell Bay Airport,Boswell Bay
INU,Nauru International Airport,Yaren District
ATP,Aitape Airport,Aitape
AMU,Amanab Airport,Amanab
ADC,Andakombe Airport,Andekombe
AIE,Aiome Airport,Aiome
AUJ,Ambunti Airport,Ambunti
AWB,Awaba Airport,Awaba
AYU,Aiyura Airport,Aiyura Valley
VMU,Baimuru Airport,Baimuru
BUA,Buka Airport,Buka Island
OPU,Balimo Airport,Balimo
BUL,Bulolo Airport,Bulolo
CMU,Chimbu Airport,Kundiawa
DER,Derim Airport,Derim
DAU,Daru Airport,Daru
XYR,Edwaki Airport,Yellow River Mission
FNE,Fane Airport,Fane Mission
FIN,Finschhafen Airport,Buki
FAQ,Frieda River Airport,Frieda River
GKA,Goroka Airport,Goronka
GRL,Garasa Airport,Au
GAR,Garaina Airport,Garaina
GUR,Gurney Airport,Gurney
GAP,Gusap Airport,Gusap
PNP,Girua Airport,Popondetta
GMI,Gasmata Island Airport,Gasmata Island
GVI,Green River Airport,Green River
HKN,Kimbe Airport,Hoskins
KIE,Aropa Airport,Kieta
LSA,Losuia Airport,Losuia
KDR,Kandrian Airport,Kandrian
UNG,Kiunga Airport,Kiunga
KRI,Kikori Airport,Kikori
KMA,Kerema Airport,Kerema
KKD,Kokoda Airport,Kokoda
KZF,Kaintiba Airport,Kaintiba
KUQ,Kuri Airport,Kuri
KVG,Kavieng Airport,Kavieng
KWO,Kawito Airport,Kawito
LNV,Londolovit Airport,Londolovit
LMY,Lake Murray Airport,Lake Murray
LWI,Lowai Airstrip,Lowai
LMI,Lumi Airport,Lumi
MYX,Menyamya Airport,Menyamya
MAG,Madang Airport,Madang
HGU,Mount Hagen Kagamuga Airport,Mount Hagen
MXK,Mindik Airport,Mindik
GUV,Mougulu Airport,Mougulu
MXH,Moro Airport,Moro
MIS,Misima Island Airport,Misima Island
GBF,Negarbo(Negabo) Airport,Negarbo
MFO,Manguna Airport,Manguna
UKU,Nuku Airport,Nuku
LAE,Lae Nadzab Airport,Nadzab
OSE,Omora Airport,Omora
PDI,Pindiu Airport,Pindiu
POM,Port Moresby Jacksons International Airport,Port Moresby
KMR,Karimui Airport,Karimui
NIS,Simberi Airport,Simberi Island
SIL,Sila Airport,Sila Mission
SIM,Simbai Airport,Simbai
SKC,Suki Airport,Suki
TIZ,Tari Airport,Tari
TBG,Tabubil Airport,Tabubil
TFM,Telefomin Airport,Telefomin
TPI,Tapini Airport,Tapini
TAJ,Tadji Airport,Aitape
RAB,Tokua Airport,Tokua
TKW,Tekin Airport,Tekin
TFI,Tufi Airport,Tufi
WAO,Wabo Airport,Wabo
WWK,Wewak International Airport,Wewak
WOA,Wonenara Airport,Wonenara
WSU,Wasu Airport,Wasu
WTP,Woitape Airport,Fatima Mission
WUG,Wau Airport,Wau
JEG,Aasiaat Airport,Aasiaat
UAK,Narsarsuaq Airport,Narsarsuaq
CNP,Neerlerit Inaat Airport,Neerlerit Inaat
GOH,Godthaab / Nuuk Airport,Nuuk
JAV,Ilulissat Airport,Ilulissat
KUS,Kulusuk Airport,Kulusuk
JSU,Maniitsoq Airport,Maniitsoq
JFR,Paamiut Airport,Paamiut
NAQ,Qaanaaq Airport,Qaanaaq
SFJ,Kangerlussuaq Airport,Kangerlussuaq
JHS,Sisimiut Airport,Sisimiut
THU,Thule Air Base,Thule
JUV,Upernavik Airport,Upernavik
JQA,Qaarsut Airport,Uummannaq
AEY,Akureyri Airport,Akureyri
BIU,Bildudalur Airport,Bildudalur
BGJ,Borgarfjordur eystri Airport,Borgarfjordur eystri
BJD,Bakkafjordur Airport,Bakkafjordur
BLO,Hjaltabakki Airport,Blonduos
BXV,Breiddalsvik Airport,Breiddalsvik
DJU,Djupivogur Airport,Djupivogur
EGS,Egilsstadir Airport,Egilsstadir
FAS,Faskrudsfjordur Airport,Faskrudsfjordur
FAG,Fagurholsmyri Airport,Fagurholsmyri
GUU,Grundarfjordur Airport,Grundarfjordur
GJR,Gjogur Airport,Gjogur
GRY,Grimsey Airport,Grimsey
HVK,Holmavik Airport,Holmavik
HFN,Hornafjordur Airport,Hornafjordur
FLI,Holt Airport,Flateyri
HZK,Husavik Airport,Husavik
IFJ,Isafjordur Airport,Isafjordur
KEF,Keflavik International Airport,Reykjavik
OPA,Kopasker Airport,Kopasker
SAK,Saudarkrokur Airport,Saudarkrokur
NOR,Nordfjordur Airport,Nordfjordur
OFJ,Olafsfjordur Airport,Olafsfjordur
PFJ,Patreksfjordur Airport,Patreksfjordur
RHA,Reykholar Airport,Reykholar
OLI,Rif Airport,Rif
RFN,Raufarhofn Airport,Raufarhofn
RKV,Reykjavik Airport,Reykjavik
MVA,Reykjahlid Airport,Myvatn
SIJ,Siglufjordur Airport,Siglufjordur
SYK,Stykkisholmur Airport,Stykkisholmur
TEY,Tingeyri Airport,Tingeyri
THO,Thorshofn Airport,Thorshofn
VEY,Vestmannaeyjar Airport,Vestmannaeyjar
VPN,Vopnafjordur Airport,Vopnafjordur
PRN,Pristina International Airport,Lipjan
SRF,San Rafael Airport,San Rafael
PYS,Paradise Skypark Airport,Paradise
YZZ,Trail Airport,Trail
YMB,Merritt Airport,Merritt
YCA,Courtenay Airpark,Courtenay
CFQ,Art Sutcliffe Field,Creston
YAA,Anahim Lake Airport,Anahim Lake
DGF,Douglas Lake Airport,Douglas Lake
JHL,Fort MacKay/Albian Aerodrome,Albian Village
DUQ,Duncan Airport,Duncan
YHS,Sechelt-Gibsons Airport,Sechelt-Gibsons
YAD,Moose Lake (Lodge) Airport,Moose Lake
XQU,Qualicum Beach Airport,Qualicum Beach
ZEL,Bella Bella (Campbell Island) Airport,Bella Bella
YTX,Telegraph Creek Airport,Telegraph Creek
YPB,Port Alberni Airport,Port Alberni
YBO,Bob Quinn Lake Airport,Bob Quinn Lake
YWM,Williams Harbour Airport,Williams Harbour
YSO,Postville Airport,Postville
YBI,Black Tickle Airport,Black Tickle
YHG,Charlottetown Airport,Charlottetown
YFX,St. Lewis (Fox Harbour) Airport,St. Lewis
YHA,Port Hope Simpson Airport,Port Hope Simpson
YRG,Rigolet Airport,Rigolet
DVK,Diavik Airport,Diavik
YCK,Colville Lake Airport,Colville Lake
ZFW,Fairview Airport,Fairview
YJP,Hinton / Jasper-Hinton Airport,Hinton
YLE,Whati Airport,Whati
YGC,Grande Cache Airport,Grande Cache
YDC,Drayton Valley Industrial Airport,Drayton Valley
NML,Fort McMurray / Mildred Lake Airport,Fort McMurray
XMP,Macmillan Pass Airport,Macmillan Pass
DAS,Great Bear Lake Airport,Great Bear Lake
YFI,Fort Mackay / Firebag,Suncor Energy Site
YOE,Donnelly Airport,Donnelly
YDJ,Hatchet Lake Airport,Hatchet Lake
YDU,Kasba Lake Airport,Kasba Lake
XCL,Cluff Lake Airport,Cluff Lake
YKE,Knee Lake Airport,Knee Lake
SUR,Summer Beaver Airport,Summer Beaver
YTT,Tisdale Airport,Tisdale
YAX,Wapekeka Airport,Angling Lake
WNN,Wunnumin Lake Airport,Wunnumin Lake
YNO,North Spirit Lake Airport,North Spirit Lake
YDW,North of Sixty Airport,Obre Lake
XBE,Bearskin Lake Airport,Bearskin Lake
YNP,Natuashish Airport,Natuashish
YPD,Parry Sound Area Municipal Airport,Parry Sound
XBR,Brockville - Thousand Islands Regional Tackaberry Airport,Brockville
KIF,Kingfisher Lake Airport,Kingfisher Lake
YKD,Kincardine Airport,Kincardine
YOG,Ogoki Post Airport,Ogoki Post
YEB,Bar River Airport,Bar River
YHP,Poplar Hill Airport,Poplar Hill
YSA,Sable Island Landing Strip,Sable Island
YLS,Lebel-sur-Quevillon Airport,Lebel-sur-Quevillon
YNX,Snap Lake Airport,Snap Lake
YKU,Chisasibi Airport,Chisasibi
ZTB,Tete-a-la-Baleine Airport,Tete-a-la-Baleine
YAU,Donaldson Airport,Kattiniq
YFG,Fontanges Airport,Fontanges
ZLT,La Tabatiere Airport,La Tabatiere
YAC,Cat Lake Airport,Cat Lake
YAR,La Grande-3 Airport,La Grande-3
YAG,Fort Frances Municipal Airport,Fort Frances
YAH,La Grande-4 Airport,La Grande-4
YAL,Alert Bay Airport,Alert Bay
YAM,Sault Ste Marie Airport,Sault Sainte Marie
XKS,Kasabonika Airport,Kasabonika
YKG,Kangirsuk Airport,Kangirsuk
YAT,Attawapiskat Airport,Attawapiskat
YAY,St. Anthony Airport,St. Anthony
YAZ,Tofino / Long Beach Airport,Tofino
YBA,Banff Airport,Banff
YBB,Kugaaruk Airport,Kugaaruk
YBC,Baie Comeau Airport,Baie-Comeau
QBC,Bella Coola Airport,Bella Coola
YBE,Uranium City Airport,Uranium City
YBY,Bonnyville Airport,Bonnyville
YBG,CFB Bagotville,Bagotville
YBK,Baker Lake Airport,Baker Lake
YBL,Campbell River Airport,Campbell River
XTL,Tadoule Lake Airport,Tadoule Lake
YBR,Brandon Municipal Airport,Brandon
YBT,Brochet Airport,Brochet
YBV,Berens River Airport,Berens River
YBX,Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon
YRF,Cartwright Airport,Cartwright
YCB,Cambridge Bay Airport,Cambridge Bay
YCC,Cornwall Regional Airport,Cornwall
YCD,Nanaimo Airport,Nanaimo
YCE,James T. Field Memorial Aerodrome,Centralia
YCG,Castlegar Airport,Castlegar
YCH,Miramichi Airport,Miramichi
XCM,Chatham Kent Airport,Chatham-Kent
YCL,Charlo Airport,Charlo
YCN,Cochrane Airport,Cochrane
YCO,Kugluktuk Airport,Kugluktuk
YCQ,Chetwynd Airport,Chetwynd
YCR,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake
YCS,Chesterfield Inlet Airport,Chesterfield Inlet
YCT,Coronation Airport,Coronation
YCW,Chilliwack Airport,Chilliwack
YCY,Clyde River Airport,Clyde River
YCZ,Fairmont Hot Springs Airport,Fairmont Hot Springs
YDA,Dawson City Airport,Dawson City
YDB,Burwash Airport,Burwash
YDF,Deer Lake Airport,Deer Lake
YDL,Dease Lake Airport,Dease Lake
XRR,Ross River Airport,Ross River
YDN,Dauphin Barker Airport,Dauphin
YDO,Dolbeau St Felicien Airport,Dolbeau-St-Felicien
YDP,Nain Airport,Nain
YDQ,Dawson Creek Airport,Dawson Creek
YEG,Edmonton International Airport,Edmonton
YEK,Arviat Airport,Arviat
YEL,Elliot Lake Municipal Airport,Elliot Lake
YEM,Manitoulin East Municipal Airport,Manitowaning
YEN,Estevan Airport,Estevan
YER,Fort Severn Airport,Fort Severn
YET,Edson Airport,Edson
YEU,Eureka Airport,Eureka
YEV,Inuvik (Mike Zubko) Airport,Inuvik
YEY,Amos Magny Airport,Amos
YFA,Fort Albany Airport,Fort Albany
YFB,Iqaluit Airport,Iqaluit
YFC,Fredericton International Airport,Fredericton
YFE,Forestville Airport,Forestville
YFH,Fort Hope Airport,Fort Hope
YTM,La Macaza / Mont-Tremblant International Inc Airport,Riviere Rouge
YFO,Flin Flon Airport,Flin Flon
YFR,Fort Resolution Airport,Fort Resolution
YFS,Fort Simpson Airport,Fort Simpson
YMN,Makkovik Airport,Makkovik
YGB,Texada Gillies Bay Airport,Texada
YGH,Fort Good Hope Airport,Fort Good Hope
YGK,Kingston Airport,Kingston
YGL,La Grande Riviere Airport,Radisson
YGM,Gimli Industrial Park Airport,Gimli
YGO,Gods Lake Narrows Airport,Gods Lake Narrows
YGP,Gaspe (Michel-Pouliot) Airport,Gaspe
YGQ,Geraldton Greenstone Regional Airport,Geraldton
YGR,Iles-de-la-Madeleine Airport,Iles-de-la-Madeleine
YGT,Igloolik Airport,Igloolik
YGV,Havre St Pierre Airport,Havre St-Pierre
YGW,Kuujjuarapik Airport,Kuujjuarapik
YGX,Gillam Airport,Gillam
YGZ,Grise Fiord Airport,Grise Fiord
YQC,Quaqtaq Airport,Quaqtaq
YHB,Hudson Bay Airport,Hudson Bay
CXH,Vancouver Harbour Airport,Vancouver
YHD,Dryden Regional Airport,Dryden
YHE,Hope Airport,Hope
YHF,Hearst Rene Fontaine Municipal Airport,Hearst
YNS,Nemiscau Airport,Nemiscau
YHI,Ulukhaktok Holman Airport,Ulukhaktok
YHK,Gjoa Haven Airport,Gjoa Haven
YHM,John C. Munro Hamilton International Airport,Hamilton
YHN,Hornepayne Municipal Airport,Hornepayne
YHO,Hopedale Airport,Hopedale
YHR,Chevery Airport,Chevery
YHT,Haines Junction Airport,Haines Junction
YHU,Montréal / St-Hubert Airport,Longueuil
YHY,Hay River / Merlyn Carter Airport,Hay River
YHZ,Halifax Robert L. Stanfield International Airport,Halifax
YIB,Atikokan Municipal Airport,Atikokan
YDG,Digby / Annapolis Regional Airport,Digby
YIF,St Augustin Airport,St-Augustin
YIK,Ivujivik Airport,Ivujivik
YIO,Pond Inlet Airport,Pond Inlet
YIV,Island Lake Airport,Island Lake
YJA,Jasper Airport,Jasper
YJF,Fort Liard Airport,Fort Liard
YJN,St-Jean Airport,Saint Jean
YJT,Stephenville Airport,Stephenville
YKA,Kamloops Airport,Kamloops
YKC,Collins Bay Airport,Collins Bay
LAK,Aklavik Airport,Aklavik
YKF,Kitchener / Waterloo Airport,Waterloo
YWB,Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq
YKJ,Key Lake Airport,Key Lake
YKL,Schefferville Airport,Schefferville
AKV,Akulivik Airport,Akulivik
YKQ,Waskaganish Airport,Waskaganish
YKX,Kirkland Lake Airport,Kirkland Lake
YKY,Kindersley Airport,Kindersley
YKZ,Toronto / Buttonville Municipal Airport,Markham
YPJ,Aupaluk Airport,Aupaluk
YLB,Lac La Biche Airport,Lac La Biche
YLC,Kimmirut Airport,Kimmirut
YLD,Chapleau Airport,Chapleau
YLH,Lansdowne House Airport,Lansdowne House
YLJ,Meadow Lake Airport,Meadow Lake
YSG,Lutselk'e Airport,Lutselk'e
YLL,Lloydminster Airport,Lloydminster
YLQ,La Tuque Airport,La Tuque
YLR,Leaf Rapids Airport,Leaf Rapids
YLK,Barrie-Orillia (Lake Simcoe Regional Airport),Barrie-Orillia
YLT,Alert Airport,Alert
